City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,269.46,87,100,"{'speed': 0.99, 'deg': 93, 'gust': 1.4}",CL,1690236032
1,Edinburgh Of The Seven Seas,-37.0676,-12.3116,288.28,77,75,"{'speed': 16.19, 'deg': 296, 'gust': 21.53}",SH,1690236297
2,Labrador City,52.9463,-66.9114,298.1,36,40,"{'speed': 2.06, 'deg': 300}",CA,1690236277
3,Kone,-21.0595,164.8658,293.41,66,98,"{'speed': 2.93, 'deg': 144, 'gust': 4.51}",NC,1690236299
4,Puerto Natales,-51.7236,-72.4875,268.22,90,100,"{'speed': 0.76, 'deg': 91, 'gust': 1.05}",CL,1690236069
5,Grytviken,-54.2811,-36.5092,267.14,76,17,"{'speed': 4.57, 'deg': 222, 'gust': 5.45}",GS,1690236300
6,Blackmans Bay,-43.0167,147.3167,281.22,81,98,"{'speed': 1.77, 'deg': 296, 'gust': 2.38}",AU,1690236078
7,Ilulissat,69.2167,-51.1,277.63,86,63,"{'speed': 1.5, 'deg': 336, 'gust': 2.39}",GL,1690236306
8,Gaalkacyo,6.7697,47.4308,298.01,61,40,"{'speed': 11.16, 'deg': 209, 'gust': 18.4}",SO,1690236307
9,Gadzhiyevo,69.2551,33.3362,282.19,96,100,"{'speed': 5.2, 'deg': 58, 'gust': 7.13}",RU,1690236307
10,Yellowknife,62.456,-114.3525,298.44,41,100,"{'speed': 3.6, 'deg': 120}",CA,1690236308
11,Hermanus,-34.4187,19.2345,279.15,66,0,"{'speed': 2.41, 'deg': 33, 'gust': 2.23}",ZA,1690236309
12,Adamstown,-25.066,-130.1015,293.13,69,53,"{'speed': 3.57, 'deg': 301, 'gust': 4.24}",PN,1690236309
13,Nuuk,64.1835,-51.7216,281.97,81,20,"{'speed': 4.92, 'deg': 340}",GL,1690236310
14,Carnarvon,-24.8667,113.6333,288.24,84,10,"{'speed': 6.74, 'deg': 27, 'gust': 9.63}",AU,1690236311
15,Invercargill,-46.4,168.35,279.92,91,83,"{'speed': 1.82, 'deg': 303, 'gust': 7.4}",NZ,1690236045
16,Marsabit,2.3284,37.9899,291.35,69,31,"{'speed': 8.79, 'deg': 138, 'gust': 13.07}",KE,1690236312
17,Port-Aux-Francais,-49.35,70.2167,277.11,72,100,"{'speed': 11.16, 'deg': 273, 'gust': 13.61}",TF,1690236313
18,Guerrero Negro,27.9769,-114.0611,299.01,52,94,"{'speed': 7.23, 'deg': 315, 'gust': 7.98}",MX,1690236213
19,Iskateley,67.6803,53.1512,288.62,80,100,"{'speed': 3.18, 'deg': 158, 'gust': 4.25}",RU,1690236314
20,Itaituba,-4.2761,-55.9836,307.24,38,20,"{'speed': 2.06, 'deg': 60}",BR,1690236315
21,Bredasdorp,-34.5322,20.0403,280.31,74,0,"{'speed': 2.12, 'deg': 343, 'gust': 1.98}",ZA,1690236315
22,Georgetown,5.4112,100.3354,300.11,92,20,"{'speed': 1.03, 'deg': 0}",MY,1690236233
23,Crane,31.3974,-102.3501,311.57,15,0,"{'speed': 5.99, 'deg': 126, 'gust': 6.2}",US,1690236317
24,Bodaybo,57.8506,114.1933,292.15,78,29,"{'speed': 0.8, 'deg': 82, 'gust': 0.92}",RU,1690236317
25,Lethem,3.3803,-59.7968,305.18,62,40,"{'speed': 5.14, 'deg': 100}",GY,1690236318
26,Ushuaia,-54.8,-68.3,272.96,69,0,"{'speed': 1.03, 'deg': 260}",AR,1690236060
27,Greymouth,-42.4667,171.2,281.91,84,91,"{'speed': 0.88, 'deg': 122, 'gust': 1.91}",NZ,1690236145
28,Qamdo,31.1667,97.2333,278.29,93,100,"{'speed': 1.76, 'deg': 326, 'gust': 1.92}",CN,1690236320
29,Isangel,-19.55,169.2667,293.21,94,100,"{'speed': 0, 'deg': 0}",VU,1690236321
30,Qaqortoq,60.7167,-46.0333,279.21,91,86,"{'speed': 2.15, 'deg': 174, 'gust': 2.34}",GL,1690236322
31,Praia Da Vitoria,38.7333,-27.0667,297.29,78,20,"{'speed': 3.96, 'deg': 336, 'gust': 4.78}",PT,1690236322
32,Longyearbyen,78.2186,15.6401,284.06,71,40,"{'speed': 5.66, 'deg': 250}",SJ,1690236324
33,Pingliang,35.5392,106.6861,292.55,70,3,"{'speed': 0.52, 'deg': 237, 'gust': 0.73}",CN,1690236324
34,Mont-Dore,-22.2833,166.5833,293.15,99,97,"{'speed': 2.95, 'deg': 161, 'gust': 4.16}",NC,1690236325
35,Corner Brook,48.9667,-57.9484,298.24,80,1,"{'speed': 2.44, 'deg': 276, 'gust': 6.51}",CA,1690236326
36,Albany,42.6001,-73.9662,299.15,75,65,"{'speed': 0.45, 'deg': 43, 'gust': 0.89}",US,1690236002
37,Waitangi,-43.9535,-176.5597,285.83,98,100,"{'speed': 0.45, 'deg': 70, 'gust': 2.24}",NZ,1690236062
38,Susuman,62.7833,148.1667,289.28,54,34,"{'speed': 1.35, 'deg': 220, 'gust': 2.15}",RU,1690236327
39,Margaret River,-33.95,115.0667,290.09,80,50,"{'speed': 7.93, 'deg': 351, 'gust': 13.49}",AU,1690236068
40,Kerikeri,-35.2268,173.9474,285.88,95,14,"{'speed': 0.89, 'deg': 326, 'gust': 2.68}",NZ,1690236127
41,Brezina,33.0989,1.2608,305.14,12,16,"{'speed': 3.24, 'deg': 155, 'gust': 4.07}",DZ,1690236329
42,Petropavlovsk-Kamchatsky,53.0452,158.6483,292.48,64,20,"{'speed': 4, 'deg': 320}",RU,1690236155
43,Pacific Grove,36.6177,-121.9166,303.92,76,0,"{'speed': 4.12, 'deg': 330}",US,1690236330
44,Lebu,-37.6167,-73.65,284.09,94,100,"{'speed': 8.32, 'deg': 13, 'gust': 14.79}",CL,1690236330
45,Olonkinbyen,70.9221,-8.7187,278.1,93,100,"{'speed': 5.86, 'deg': 24, 'gust': 7.41}",SJ,1690236331
46,Mirny,62.5353,113.9611,292.17,72,18,"{'speed': 1.79, 'deg': 80, 'gust': 0}",RU,1690236332
47,Isiro,2.7739,27.616,292.34,96,33,"{'speed': 0.66, 'deg': 298, 'gust': 0.62}",CD,1690236332
48,Tiksi,71.6872,128.8694,277.15,81,17,"{'speed': 1.89, 'deg': 65, 'gust': 1.71}",RU,1690236333
49,Utrik,11.2278,169.8474,301.42,79,94,"{'speed': 6.64, 'deg': 81, 'gust': 7.41}",MH,1690236067
50,Ketchikan,55.3422,-131.6461,293.41,60,0,"{'speed': 4.63, 'deg': 310}",US,1690236334
51,Bojnurd,37.4747,57.329,297.12,25,0,"{'speed': 1.03, 'deg': 0}",IR,1690236335
52,Whitehorse,60.7161,-135.0538,289.58,72,75,"{'speed': 3.6, 'deg': 150}",CA,1690236083
53,Alenquer,-1.9417,-54.7383,302.97,49,59,"{'speed': 0.68, 'deg': 246, 'gust': 1.39}",BR,1690236336
